Folder consists of 16 ODF files from 2023 Bedford Basin Compass Station occupations.

"FILE","START_DATE_TIME"
"D23667001.ODF",2023-01-05 13:14:45
"D23667002.ODF",2023-01-11 13:12:54
"D23667003.ODF",2023-01-18 12:59:02
"D23667004.ODF",2023-01-25 13:11:13
"D23667005.ODF",2023-02-01 13:10:36
"D23667006.ODF",2023-02-08 12:59:26
"D23667007.ODF",2023-02-15 13:03:43
"D23667008.ODF",2023-02-21 12:53:04
"D23667009.ODF",2023-03-01 12:57:20
"D23667010.ODF",2023-03-07 12:47:38
"D23667011.ODF",2023-03-15 12:06:26
"D23667012.ODF",2023-03-22 11:54:05
"D23667013.ODF",2023-03-29 11:56:36
"D23667014.ODF",2023-04-05 11:54:39
"D23667015.ODF",2023-04-12 11:59:43
"D23667016.ODF",2023-04-19 12:14:30
